review,general
kotak snake airy ny kosong,neut
ac ga dingin lantai ktor pmesanan sblum nyatdk dpt cemilan,neut
tembok kamar dengar berisik kamar belah harus hotel sama kamar boleh dengar toilet di sedialan tisu tempat sampah kamar kotor jadi paksa pakai plastik sampah,neg
km mandi bau anduk tdk sudah minta tdk kaish,neut
kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi lipan nya makan nya lah meja selalu kotor kalo mau breakfast kurang pegawai kyknya,neg
snack airy bantal kecil airy ada kolam renang ga dipake padahal tinggal bandung cari staycation bandung buat main kolam bareng anak minta main sebentar doang ga karena ada siap wedding padahal weddingnya aja sore kecewa parah akhir checkout lebih awal biar cari kolam renang luar,neg
bau toilet sengat cium tidur,neut
layan ramah deposit terlalu tinggi malah lebih tinggi dr harga kamar kt ga selalu bawa cash banyak paksa hrs cr atm lg,neg
tempat nyaman bersih tv terlalu tinggi bisa lihat,neg
sy lbh suka twin bed room banding double bed room krn lbh lengkap wifi kamar sedang rusak pegawai sangat ramah,neg
keluarga tinggal kacamata baca baru beberapa jam kemudian datang info yg dpt justru sangat kecewa kacamata sebut dibuanghal yg sangat sesal sekali bukan simpan lebih,neut
ad mins plus minspelayanannya lamban bedcovernya ad titik titik nodagak bersih janjiin bakal anterin snack tp smpe chekout gak plus sarap enak fasilitas lengkap,neg
fasilitas tv chanelnya gak ada selimut tidur nyenyak banyak nyamuk mohon fasilitas baik tks,neg
air hangat kamar mandi gak aktif,neut
kasur debu,neut
ada wifi nya,neg
kamar mandi sepertiny kurang layak wc mampet wastafel jg mampet salur air nya pintu kamar mandi tambal pake kantong plastik moga bs baik depan nya ac kurang dingin,neg
kamar mandi kurang bersih kurang lengkap faslitasnya kamar mandi yang lumayan,neg
cukup but ramah yah kurang kami,neg
air hangat nya kalau siang aja nya kalu pagi mau mandi ga hangat,neut
air panas fungsi handuk lambat,neg
hot shower ada kamar kotor bau amis,neg
rekomendasi kamar no tembok kotor banyak nyamuk wc bau kamar mandi jorok,neg
hotel suasana semua cukup baik staf baik hari pertama kamar lantai atas wifi air panas lancar debu cukup tebal meja pindah kamar balcony wifi lumayan connection tidak ada air panas housekeeping lebih sering lap furniture nya aja kamar jadi lebih baik,neg
wifi gk nyampe lantai atas,neg
pelanyanan cukup baik cuman chanel tv sedikit masalah,pos
good seluruh baik pas kemaren dapet kamar ac nya bunyi but its nyaman lokasi gampang cari,pos
slow responnot hospitality staffpegawai sering gk ad d tempatkolam renang kotor,neg
pertama masuk kamar lgsg ken refund rasa kamar mandi karat air bau karat wc karat jg dipan debu ada remah makan staf nya tdk profesional sprti jaga kosan ill never ever back here gak ssuai bgt sama gbrny hiks cuma stay kurang lbih jam disni terbang pagi bgt,neg
kurang bersih kamar mandi lorong tuju kamar untung layan cepat tanggap,neg
acnya ga dingin moga baik utk depan,pos
kamar mandi nya waktu nginep bauk depan nya moga lbh perhati lg lebih nya oke,neut
layan kurang,neg
awal datang masuk kamar delux gak kulkas nya gak sesuai gambar akhir nya angkat kan kulkas kamar sama karyawan nya oke lah telah kecewa karna handuk keset kamar mandi jadi bolak balik turun bawah lantai lewat tangga kamar kurang bersih ada sisa putung rokok dalam lemari,neg
air kotor lampu kamar terlalu redup kamar mandi kurang bersih,neg
bangun tua layan kurang baik kecewa,neg
gak sama gambar ruang nya jaga malam nya judes padahal depan doang beli nasi tanya nya nada tinggi,neut
bagus ramah staffnya cuma kamar sempit sesuai harga sih murah ac kurang dingin,neg
sen hari malam hari pertama tidur nya kamar orang penuh barang alas kamar habis padahal udah booking hari minta handuk anter baru besok pagi kamar hotel sih lumayan cuma gitu,neut
backpacker sangat bagus cuma jaga nya g mau buka pintu klo pulang lewat jam malam,pos
kl malem hotel gelap lampu kamar kurang terang kamar mandi bau kunci kamar rusak,neg
lumayan wifi room gak,neut
kamae mandi kurang bersih puntung rokok kamar tidur jg bau sedap ac kurang dingin view kurang enak jg,neg
layan yg baik ramah tempat sesuai gambar tempat strategis mudah akses mana kualitas wifi perlu baik jaring yg sangat lambat suasana nyaman relax,pos
view bagus layan bagus cm ac aja kurang dingin,neg
lumayan harga diskon ac tv westafel semua baik cuma kmrrn abis wedding party blm beres jadi sampah nya bauuu,pos
baik ac nya kurang dingin lebih mantaaaaaaabbbbbbbbssss,neg
hotel syariah lengkap fasilitas alat shalat sarap cukup variasi hotel bersih nyaman cuman sayang channel stasiun tv swasta kurang lengkap fasilitas set airy rooms lengkap standar terima kasih airy,neg
over all kurang wangi aja kamar anak betah karna puas liat kereta,neg
kamar nyaman luasbersihcm g wifi sama air panas,pos
lampu ruang sangat redup sulit utk baca banyak nyamuk kamar tidur nyenyak layan kurang peka utk bantu bawa tas koper padahal tamu nya wanita semua,neg
layan muas bagai rumah sendiri ac sering cuci dingin,neut
sesuai ekspektasi kamar bersih agak sempit kamar mandi bersih sayang ada air hangat cocok backpacker harga cukup murah,neg
yg pnya rumah ramahletaknya strategiscuma handuk dkasi sdh gak layak pakai hitam semuashowernya jg tlg dperbaiki air tdk alir dgn baik klo bs dkasi panas air utk kmr mandi overall sdh bgs,pos
wifi nya gak bagus,pos
layan bagus sangat ramah cuma ac kurang dingin channel tv kurang lengkap,neg
bau rokok ntah masuk dr mana bau wcnya mulai dr masuk padahal belum guna wc nya,neut
selimut kotor berisik giat karaoke,neut
check in nyampe larut malam liat resepsionist tidur dudukterus masuk kamar mau bersihin badan engga handuk tanya bagresepsionist nunggu menit lebih lalu jawab dikamarkalau ada buat apa bilang jam dini hari tibatiba listrik padam cukup kecewa,neut
sesuai harga cukup yg penting ramah fyi air panas fungsi mnt air keluar,neut
pindah kamar x gara ac kamar yg pertama mati yg dua g dingin suruh tunggu,neut
snacknya kurang ada kompor listrik,neg
kamar bersih walaupun sesuatu kloset yg jaga sedikit banget senyum nyamaaan banget kamar,neut
koneksi wiffi lebih tingkat,neg
old school hotel bersih lah tingkat bakwan sarap bom mateng pas makan,neg
ac dingin lampu kurang terang,neg
kamar mandi bau banget kamar gelap overall utk hrg segitu tlg di perhati lampu kamar mandi nya thankyou,neut
tempat nyaman bangun barumungkin krn baru blom sempat d bersihkanmsh ad debutp overall nyaman ramah utk tempat transit,neg
nyaman bersih cuma air hangat nya ga hangat dingin,pos
empat kali yakin kembali sayangny fasilitas air hangat fungsi juga semprot kmaar mandi,neg
posisi kamar pas belakang mak beng warung jadi kamar bau ikan goreng sambal terasi,neut
kamar mandi kurang bersih kerak air bbrp kali mati utama pas subuhtidak sedia keset air panas unt minum ready baru jam ruang terlalu sempit tdk cukup space unt sholat sinyal hp kamar mati suri lokasi bagus sewa motor wifi kencang,neg
snack nya gak kasihawalnya handuk cuma kasih tp minta baru kasih,neut
ac dingin pintu kamar mandi bocor but overall nice esp makan dekat tempat makan luar hotel supermarket,neg
utk sekian kali sllu plus minus saya dapat airy rooms slip air conditionerac lamban jd tunggu jam jam utk ruang lebih dingin over all tampak kamar ssuai yg foto complimentary snack jg moga airy beda dgn kamar yg trimakasih airy,neg
lantai debu air kurang lancar,neg
acnya fungsi ac mungkin bocor panas banget air lantai kadangkadang naik air loyo,neg
kamar bersih luastp sayang wifi nga kamar,neut
bed nya kotor berisik kamar mandi kamar belah dengar bau enak,neg
cukup baikwaktu pertama masuk kamar kamar baushower air panas berfungaipadahal panggil tugas,neg
waktu checkin ganti kamar kali lantai kotor seprai lusuh bercak merah meja debu tebal salur air mampet ada properti airy kamar bantal biru perlu review lg kerjasama airy hotel pertama akhir inap sini,neg
kamar debu bau lembab bikin badan gatel flush wc ga fungsi wastafel mampet lampu yg ga nyala telepon hotel ga wifi gabisa layan baik ramah ga dukung sama fasilitas aja ga mau nginep full krn keburu ga nyaman duluan,pos
acnya model jadul berisikkk parahh bkn susah tdur n kurang dngin dtmbh lg air panasny cm brfungs,neg
cm yg bikin ilfeel di bantal biru khas airy room bekas iler yg ga dibersihin lihat sekali di dua bantal biru gmn ini airy,neut
layan ramah kondisi kamar sangat kurang nyaman gelap kurang bersih ac berisik,neg
minus wifi kurang kenceng,neg
jaga kurang ramah,neg
layan pihak hotel muas kamar tidur kamar mandi bersih shower air panas fungsi,neut
rekomendasi libur keluarga kurang beberapa kali inap air mandi shower bisa panas,neg
tv nya bukan pakai tv cabel terus kamar mandi kurang bersih,neg
hotel bersih nyaman tp keyika masuk kamar sangat bau bekas asap rokok,pos
layan buruk ngga niat terima tamu,neg
receptionist ramah kamar luas ac dingin lengkap ala airyroom sedia kurang bed lamp room line tdk fungsi chanel tv putus sambung pilih batas bersih hotel kurang sekali utama kamar mandi pool spt sentuh biar kotor,neg
alhamdulillah nyamancuma ac mungkin perlu rajin cek servicesuaranya keras kurang dingin overall,neg
kamar mandi bautercium dari kamarair hangat nyala kecil,neut
acnya kurang dingin lebih baik,neg
kamar lumayan wifi nya ga bs guna,neut
ga handuk kamar jamur bau sedap sprei kurang bersih alhasil cek in langsung cabut cari airy,neg
air panas kmr mandi cm buat menit sabun shampoo kmr mandi habis tdk direfill channel tv gambar bnyak semut semua,neut
kamar mandi bau kran karat banyak sarang laba tempat tidur kurang bersih lokasi inap masuk gang tidak masuk mobil,neg
kamar mandi bau tdk bellboy,neut
kecewa tempat kotorrr ga air panas shower tdk fungsi tempat tidur sprei kotor tv ac bocor remotenya kulkas mati tdk fungsi sarap pagi tdk kasih semua tidak sesuai yg ditawarkantidaka puasss,neg
lumayan air panas nya ga hidup,neut
suasana kurang nyaman inap deposit bisa ganti ktp,neg
air panas nya gak lebih bagus ac mati tengah mlm,pos
all bagus cuman salur tv nya yg gg jernih resek sinyal nya terus chanelnnya lengkap,neg
kamar bau rokok kasur sempit sekali ukur meter layan terima tamu galak,neut
ac fungsi sempurna jadi panas,neg
selimut bau ac nya suka bunyi salur kamar mandi mungkin mampet karna bau pesing,neg
kurang bersih,neg
nyamanmurahbshsemuanya sdh okesnackair mineraltvair pnasacperlengkpan mnd tinggal ac yg krg dingin,neg
kamar baik toilet kurang bersih tdk tempat sampah kamar,neg
pegawai kurang ramah kamar lumayan bersih sih,neg
harga atas rb rasa bersih menu sarap kurang layan bagus,neg
tvnya jadiin tv satelit dong biar asik,neut
kamar besar cuma minus ac kurang dingin layan tv nya kurang bagus,neg
kamar bersih nyaman kamar mandi oke air lengkap mandi oke kurang alas kaki tdk pas minta kasih hair dryer tdk wifi sampai kedlm kamar colok kamar jauh lokasi kota bandung cara seluruh oke,neg
not recommended soal sering air mati ga air panas tamu kunjung cm mnt aja karyawannya judes bgt,neut
inap kamar gedung hotel yg sangat bagus resepsionis yg ramah kamar yg bersih handuk sedia yg besar ac dingin wifi kenceng dalam kamar mandi ada keset jd basah basah keluar kamar mandi sy dpt promo harga rb lebih dikit harga sebut puas bgt,neg
kamar sempit pengap unik memang designnyakalo luas dikit aja bagus ventilasi bloweritu perlu bgt posisi ac perlu ganti,pos
banyak semut nyamuk handuk selimut sprei ganti lama hari inap handuk sedia per kamar padahal dua kamar hari dua inap telat beri jatah minum jajan alat mandi tunggu tanya dulu baru beri kurang ramah maaf terima ksh,neg
kamar seram kotor seperti badcovernya di ganti karna banyak bercak noda,neg
layan baiktapi snack nya koq ngga lagi yakemudian bantal bau apekitu aja masuk,pos
layan baik ramah breakfast jg ganti pke sahur antar kamar sayang wifi sm ac nya ga jalan,pos
alam hotel buruk pintu hotel jelek ac tua kurang fungsi hari pertama sedia selimut selimut kotor sprai tempat tidur kotor tempat tidur ga spring bed ventilasi wc jelek jadi bau air kotor lantai kayu tv kecil lama urus layan tidak muas hotel airy buruk pernah,neg
layan baik kamar oke sesuai harga saja kamar mandi butuh harum karna bau pesing itu channel tv banyak tidak tonton karna poor signal overall hotel letak strategis cocok buat ada urus daerah kuningan sisi plus lain cari makan sekitar hotel sangat mudah,neg
awal udah senang kasih welcome cokelat kecewa lipat lipat kamar gk sesuai foto ulas traveloka kamar bau banyak semut tempat tidur ac gk nyala panas banget menang tv doang yg gede kamar mandi gk sempat pake saya sekarang siap siap mau check out pindah hotel aja nyesel udah bayar buat malam gk direfund,neg
inap malam tv rusak lampu kamar mandi mati sisa,neut
bau pesing di perhati kotor,neut
jet washer air aroma kalo bs benah supply air jet washer krn sangat nenyengat di guna ganggu nyaman dgn aroma yg ditumbulkan yg saya rasa puastrm kasih,pos
air panas wifi g connect sama mesin buat masak air,neut
hotel bagus cm air hangat bisa,neg
ruang bersih akses cukup mudah cuma posisi lantai yg tdk sesuai kriteria airy tidak sedia air panas hot shower padahal bg itu cukup penting,neg
bersih sih kamar tp maaf kamar mandi kurang brsih bekas rambut buang air wastapelnya jg kotor rambut,neg
internetnya lambat,neut
sampah dalam kamar tp lebih,neut
kamar mandi sangat bau yg lain bagus nyaman,pos
perlu harum kamar mandi air hangat mati,neut
layan bagus tp kamar yg sen ac ga dingin kmr mandi bau,pos
luas nyaman ac dingin balkon tv kabel lokasi deket buat bintaro exchange cm kurang stiker arah kiblat ga cafenya,neg
toilet bersih ada bathmed kitchen wastafel kurang bersih,neg
overall kamar yg lebih dari kemarin wastafel nya mampet pagi nya air panas nya kurang panas,neg
kamar sesuaitempat parkir kurang nyamanpelayanan kurang rama,neg
ac kurang dingin ada kipas atas jadi bantu overall baik,neg
air panas kurang fungsi baik,neg
layan baik lengkap tidur sprei selimut yg guna cuci bersih masih bekas kotor,neg
terlalu banyak kamar jadi perhati masalah bersih,neg
bangun tua kasur bersih wifi jangkau kmr nilai plus dpt hrg murah promo airy,neg
tv kabel banyak tidak channel nya,neg
sesuai gambar bersih ac dingin wifi kencang channel tv yg kurang,neg
tenang nyaman tv error,pos
terima kasih atas fasilitas kamar mandi air panas tempat tidur lemari ac snack tempat strategis dekat swalayan tempat makan parkir motor tapi sempit wifi lumayan tv sinyal sering kabur alat sholat kurang lengkap sedia sajadah pintu gerbang komplek buka jam sd wib,neg
hotel yg bagus sayang masukbau rokok lobby nya internet lambatmohon tingkat tv kabel sedikit mohon tingkat kamar bersih nyaman sarap variatif lezat kolam renangmembuat betahtp sayang warga sekitarbkn sewa hotel yg ikut renangmembuat ramaikrn anak usia tanggung,neg
lokasi bagus tengah kota kamar bersih saja kamar mandi bau busuk makan saja staf recepsionis ramah akses internet ada kamar lt ada lift,neg
hotel tak nyaman berisik staff tak intelektual tengah malam subuh teriak teriak luar setel tv kencang staff pikir nyaman diri sendiri tak pikir tamu sudah tidur apalgi,pos
lokasi strategis tengah kota kamar kecil sesuai harga sedia air panas washtafel,neg
bantal nya bau,neut
layan biasa ada pernak pernik airy awal masuk kamar,neg
sngt kecewa dgn fasilitas nya kayak nya gak cocok deh jd home stay air kmr mandi gak adabnyk nyamukair panas gak hidupsejadah gak siapin dimntk dulu br,neut
tv nya kurang gede renyek semua,neg
kamar mandi bau wangi anduk sama sendal datang telat pelayanana baik,neg
layan cukup baik channel tvnya kadang erorr,pos
bed nya kotor banyak debuwater warmnya fungsi lokasi tidak strategis satu den,neg
kamar bau rokok seprai ganti tamu baru msh bekas abu rokok,neg
kamar kotor ac asa apa apa toilet udah karat air asintv ada warna customer service siap kamar orang datang inap,neg
kamar bersih rapi air mineral gratis cemilan gratis kurang di kamar mandi lebih baik lg bersih overall oke bakal kesini,neg
kualitas furnitur bersih perlu tingkat,neg
sangat muas kamar penuh nyamukminta obat nyamuk semprot tidak adadinding penuh nyamuk matidalam malam membuh nyamukkamar mandi kotor,neg
kamar baik semua sesuai yang janji airy rooms untuk layan hotel bersih tingkat sarap cuman mie telur orak arik sangat kurang,neg
kamar bersih sarap enak sayang sprei baru,neg
wifinya jalan sangat sayang ruang terlalu gelap tidak jendela,neg
kamar luas ac lama banget dingin air lengket bau,neg
gak snack nya payah klo yg ok,neut
ga recomended ac panas bantal bau ruang ga sesuai yg gmabr beda bgt thx airy,neut
bersih perhati bukan bersih tampak awal seluruh kait nyamuk kecoak thanks,neut
wifi lot tv ad chanel,neg
suasana hotel jadul senang kayak china town mana gitu dekat stasiun gambir staff hotel ramah sarap enaaaaaak fasilitas kamar fungsi baik wifi terlalu kuat kamar lantai worth it yang suka nuansa zaman dulu terima kasih airy rooms,neg
air panas kurang hmmm sama wifi gak nyampe,neg
kamar sangat kotor kamar mandi kotor debu banyak bgt baru menit kamar langsung pindah hotel,neut
dinding kamar perlu cat ulang dinding lembab cat ngelupas selimut kurang bersih harga murah kamar luas nyaman,neg
kamar mandi kotor bau got layan karyawan hotel bagus tempat parkir kurang luas,neg
viewnya breakfast oke beberapa yg kurang kolam renang kurang besar air kolam renang warna hijau jd ga liat bersih lengkap kamar kurang musti telepon dulu resepsionis request wifi kurang lancar,neg
tv nyala,neg
resepsionis available hours check in pukul ada resepsionis menelfon tunggu baru keluar ketik check out saya tunggu menit lebih layan tempat resepsionis banyak kucing bau busuk ada depan inap seperti di internet,neg
kamar bagus snack hotel airynya semua yg kamar fungsi baik wifi kadang lambat kadang cepat tingkat layan,neg
kurang bersih lobby service selalu standby,neg
seprai bau ompol kolam renang kotor,neut
seluruh tempat nyaman parkirn aman ac wifii air mandi lancar cuma rada kecewa sama lantai kamar bukan keramik kamar mandi sdikit kotor langit overal klo tinggal sih okee lah,pos
sudah x inap sini tempat sangat worth it harga kamar bersih kamar mandi bersih saja selalu masalah air panas overall sangat recommended,neut
kamar kurang bersih banyak debu lantai,neg
layan receptionistnya yg nama lolita syarif sangat sopan tidak etika hotel yg lebih bagus banyak,neg
tgl juni inap salah satu kmr lt lupa no kmrnya sangat kecewa krn ac yg sama sekali dingin tidurngak nyenyak krn panas san flushing kloset yg rusak bisa flush payah sangat recommended,neg
kamar mandi bau kurang sedap,neg
tambah keset kamar mandi juga acnya kurang dingin,neg
kamar mandi kotor,neut
room fasilitas nya untuk staff nya very very bad ga senyum ga yg care proses co lama sekali trutama rcp yg bener bantu sama sekali,neg
kamar luas ac air tdk ad masalah breakfastnya enak saran bersih banyak selimut d tingkat overall hotel lumayan,neg
seluruh oke banget aksesibilitas mudah dekat dg masjid tempat makan buah batu sayang kamar mandi kurang nyaman krn pintu tdk tutup rapat mesti ganjal tissue kamar mandi bau comberan,neg
view suasana oke tempat tidur gak nyaman bangun tidur badan gel jafi sering bangun pesan kamar yg satu air panas gak fungsi lampu tidur mati kolam renang kotor tdk urus over all oke servicenya cepat ramah,pos
kamar bau sedap panjang hari,neg
lumayan kamar kotor seperti lantai bersih,neg
bersih sangat kurang kamar mandi bau satu kamar bau kamar mandi sprei kotor kasur debu wifi ada sorry to say sesuai gambar deskripsi,neg
handuk bau makan telat tidak standar airy sperti biasa karyawan sangat tdak ramah,neg
tempat yag bagus n nyaman istirahat tpi tvnya perlu baik channelnya krn banyak semut gambar water heaternya nda jd mandi air dingin terus,pos
kamar mandi kecoa bantal biru bau apek lain oke,neut
jelek tdk makan airy,neg
yg tulis airy room remot tv tdk bs pakairusak remot ac tdk adahidupin ac manual lengkap kamar mandi cmn handuk sangat kecewa yg room room sangat puas lengkap room ada smua,neg
cukup murah strategis sayang ruang asa panas acnya bocor keluar pintu tutup baik,neg
tempat bersih dah bagus layan kurang ramah,neg
kamar ga sesuai yg foto ga air panas banyak bgt nyamuk kamar nya cemilan ga kasih di hari dua kain seprai selimut kurang bersih,neg
tdk standart lemari rusak aroma kamar tdk fres gap lakpu yg mati minta sama cs nya tdk ganti,neut
wifi seperti ada kamar mandi kurang bersih,neg
wifi lobby kamar kaga harus banyar kalau di kamar,neut
biasa aja sih makan sayavminta antar tidak antar antar,neg
ac lama dulu baru dingin handuk aja,neut
lokasi hotel jalan utama di kamar sedia tlp operator lebih mirip tempat kost kondisi kamar bersih free wifi blm seperti,neg
kamar mandi bau bangeett breakfast enak makannannya perlu tingkat layan,neg
kamar kurang bersih ketemu kalajengking lubang lantai keramik,neg
semua muas saja ac kamar dingin kamar mandi sedikit bau,neg
kelola siap layan lama sesuai standar airy saya pernah inap d,neg
lokasi strategis sarung bantal sprei bau handuk lusuh,neut
bersih sprei selimut perlu lebih perhati,neut
ukur kamar luas nyaman jangkau untuk layan kurang,neg
pusat kuta sulit temu cs ada tempat saat akan check in tinggal nomor telp cs datang mnt kemudian cs tau password wifi bangun tua sedikit seram air mandi panas ada semua kamar lantai jadi naik tangga sabun sampo sedia,neg
nyaman sihcuma hot water gak adawifi gak,pos
masuk pertama kesan yg terima jorok mohon maaf ad kotor eek msh lekat bibir kloset bersih kemudian makin malam banyak kecoak muncul awal sy baca review dr app tetangga yg blg byk kecoak sy tdk percaya tp alami sendiri sangat horor tidur jd tidak nyenyak,neg
ac kamar nya keluar suara berisik,neut
gak air hangat,neut
utk budget hotel masuk nyaman kurang bersihada sisa sampah d bawah kasur handuk bekas orang masih ngegantung belakang pintu seprai noda ntah ganti ato,neg
lumayan twrjangkau putar air keran nya kadang panas kadang dingin,neg
air hangat gak hidup didlm kamar mandi,neut
mginap hotel rahayuac x kurang dingin wc x kotor terus sarap pagi telor ceplok muas,neg
overall oke sih harga segitu cuma kamar mandi bersih lokasi oke tinggal j,neut
bersih okcuma tumben snacknya ada,neg
cuma wifinya masalah aja dn ac nya kurang dingin mngkin dah lama gak cuci,neg
wifi nya dong benerin ga connect internet mana sinyal susah lg ilang timbul,neut
room beri ada compliment reception sangat kasar beri info room customer alat mandi handuk ac bocorselimut padahal inap org tlg lebih baik,neg
layan baik yg jaga priakamar ga sedikit fentilasi udaraga kaca dikamarkamar mandi kotor ada baju yg gantung ntah punya siapa,neg
lokasi bagus strategis lobby sangat minim pintu kamar mandi bisa tutup ac rusakangka ac macet naik turun sandal ada cuma,neg
saja handuk sedia cuma,neut
kamar lumayan cuma view nya kurang soal langsung genteng rumah orang sedikit kecewa baru kali nginep pake airy gaa kasih camil gratis tempat tidur enak bikin betah tidur sayang kamar mandi kya gaa awat bau licin gaa air hangat,neg
bau kamarmandi kurang sedap layan apa ada tempat makan sangat jauh,neg
fasilitas sesuai apa janji terkadang sambung wifi dalam kamar susah keluar kamar lebih baru wifi sambung,neg
fasilitas air panas sedia,neut
lebih karna dekat pusat kota kurang hotel nya tua tempat parkir kurang pada ad air panas layan telf kamar fungsi layan kamar lamban,neg
tempat nyaman receptionist ramah saat tengah malam tamu telpon depan receptionist dg pintu batas ruang biar buka tugas malam yg rawa kurus shg suara dengar kanar seluruh baik,pos
kamar kurang bersih sarap biasa aja,neg
kamar bau kotor toilet bau after inap dsini kena sakit kulit ruam kulit gatal,neut
servicenya okpegawainya ramahpemandangan view okcuman air panas buat mandi kadang panas kadang enggaall in mantap lah tingkat lg,neg
jauh dalam layan nya cukup baik saja kondisi sprei nya kurang bersih,neg
breakfast gak jelas jam nya pas mau makan gak makan gak tamu yg makan informasi tempat makan gak cuman meja makan dan informasi bagi mana paksa makan luar,neut
view keren alat mandi lengkap cemilanair minum kamer mandi ga terlalu bersih seprei bed covernya sempet bau pesing uda minta ganti tapi tetep bau meski ga pesing mohon perhati terima kasih airy,neg
kamar sempit bau jorok,neut
awal checkin sy kecewa krn kamar kotor tidak sedia tissue keset benar,neg
salur kamar mandi bau sdikit mampet tmpat showernya tpi so far so good,neut
layan kurang ramahtdk air utk manditempatnya pelosok susah cari,neg
air wastafel gak nyala ac kurang dingin,neg
ac nya ga dingin showernya ga air panas malah mati anehh,neut
sarap kurang variasi wifi bisa akses kamar sinyal hp jelek kalau dalam kamar,neg
airy room yg country heritage kurang muas ruang kotor debu belakang tv g pernah lap mungkin jarang pakai kali risih ada didlm akhir sama pihak hotel ganti dngn bukan airy room kasih free gapp y tulis benar airy room depan lbh baik lg,neg
kamar mandi bau air bau,neut
pesan yg twin bedroom kasih yg single air mineral biasa snack tadi gak soal belum sudah kali pesan iry snack nya tp thx buat numpang tidur yaaa,neut
sangat buruk layan nya mulai kamar yg kotor watafel sumbat di baik jangan yg mau inap disni kalo tidak mau kecewa,neg
semua mantapp lah harga lumayan stff tivi tu masangnya tinggi musti ngedongak liat bikin gel leher,pos
nyaman layan baik air hangat tak fungsi baik,pos
nyaman ac bocor,pos
layan cepat kamar bersih toilet bersih sayang kemarin ada minibar gratis biasa lokasi inap mudah jangkau mudah cari tempat makan moga lebih baik,neg
kamar mandi bau lubang salur air mampat penuh rambut harus yang bersih kurang meja kecil samping tempat tidur kamar kecil sangat nyaman,neg
layan ramah kamar bagus walaupun spreinya kusem tp ngga papa soal bawa selimut cadang tp aq bingung klo mau sholat turun dulu musholla tuk pinjam mukena ribet euy utama klo hujan,pos
milik kayak gak tau n gak kuasa aplikasi airykamar airynya paling ujungnggak kasih minumsnack gratis dr airyshower ngga yg panaslokasi strategiskamar lumayanmikir kalo mo ngulang nginap sini,neut
sarap not goodparkir bayarkamar bedcover kotorlantai kurang bersih,neg
kamarx kurang luas slebihx nyaman wifi nya lumayan buat kamar cm sering putus klo sarap nya antar tiap kamar kasi buat yg telat akhirx bagi sarap mkasih,neg
enak sih tempat tp air panas kamat mandi nya gak mau terus gak kasih air minum,neut
hotel kamar kotor makan lumayan tolong kecewa,neut
nyaman strategis cm kmar mandi kurang bersih moga lbh baik thx airy,neg
overall is perfect air panas fungsi pas mandi pagi sama malam jadi dingin,neg
airy brengsek jual kamar hancur beranta kalian jual kamar buat tamu esek kamar kotor bau rokok ada handuk ada air pintu kamar mandi rusak komplain airy direspon sangat kecewa sekali tutup z airy g pantas kalian jual kamar kayak gitu skalian z jual jasa service esek hotel kok hancur gt,neg
breakfastnya enak staff layan sangat ramah ac kurang dingin,neg
kamar sesuai harapanac sangat kotorubin angkat jadi bahaya terinjaktoilet kecoageneral cleaning kala karna fasilitas sangat buruk,neg
kamar kuranf bagus lampu semua nyala sangat petang ruang sangat bau kamar mandi kotor,neg
hotel bagus viewnya keren tp klo udah kamar jauh dr apa kamar ga jendela buat liat pandang klo lg mager awal check in ga handuk pas minta dianterinnya responnya lama udah dianterin handuk udah ga layak pakai satu aroma handuk bau asap rokok ga gantung kmr mandi thanks airy,pos
tidak dapat lengkap mandi standart airy sabun shampoo pasta gigi sisir rambut sikat gigi simpan dalam dompet dg logo airy ruang yg tempat kurang bersih banyak nyamuk bed cover bercak putih bekas sperma kamar mandi lantai penuh kerak terus terang kali saya kecewa,neg
sumpah yah gak mau nginap sini layan gak ramah bersih kurang perhati,neg
tempat nyaman istirahat lengkap mandi lengkap ada sabun shampoo sangat sering guna airy room sudah tau apa fasilitas biasa ada cemilan ada hanya tengah pada biasa,neg
bersih kamar perlu lebih perhati,neut
kesan layan ramah yg kurang kesan ac kamar tetes air bagi yg keluar angin solusi pihak hotel tampung air tadah pakai wadahsemoga depan baik,neg
kamar mandi perlu tingkat showernya kurang nyala,neg
kamar baik ac nya tdk dinginsuasana kamar tdk ac sarap lumayan banyak pilih thanks airy,pos
fasilitas cuma tv nya kurang bersih antena,neg
kamar kotor minta ampun banyak sarang labalaba kasur lama ganti spreynya nyamuk banyak sekali bikin gatel untung cuma malam untuk transit doang kesan cuma ac dingin salur tv bagus kamar mandi lumayan air panas dekat bandara malam dini hari suara bising tamu belah,neg
cukup bagussesuai tarif air panas showertidak keluar pagi haritrus makan sarap pagi kurang enak,neg
worth it sesuai harga sayang ac nya kurang dingin seluruh baik,neg
dpt kmr yg panas rusak tp stlh mnt bs ganti dgn air panas dr ember sm tugas,neut
layan checkin sangat ramah nasi goreng nya hangus telur dadar kok yaa tipis gitu ada sendal sprei sarung bantal kotor,neg
layan y muas masuk aja kamar yg tempat bau y kurang enakmungkin kamar y di kasih harum ruanagan,neg
internet hotspot butuh baik selain sangat muas,pos
kalau backpacker yang terlalu penting bagerang ada inap the hotel is okay saya saran yang bawa bayi anak kecil orang tua kamar mandi bersih handuk warna coklat sprei juga lihat bersih hair dryer hotel jadi pinjam pinjam sedia masak air panas jadi kalau mau air panas ke restoran wifi ke restoran,neg
ac nya cukup lama ga dingin yg nya okeee,neut
wifinya perlu cek sudah atau bisa d guna unjung,neut
